professor_name,apiVersion,script,name,likelyGender,genderScale,score,probabilityCalibrated
Travers  Breen,namsor_api_2.1.4,LATIN,Travers  Breen,male,-0.7909579692175956,9.165510337683799,0.8954789846087978
Valerie  Cannon,namsor_api_2.1.4,LATIN,Valerie  Cannon,female,0.41207097160903206,5.67140286686724,0.706035485804516
Vasundhara  Chakraborty,namsor_api_2.1.4,LATIN,Vasundhara  Chakraborty,female,0.414257476725824,5.721233550523422,0.707128738362912
Vincent  Munch,namsor_api_2.1.4,LATIN,Vincent  Munch,male,-0.47390603410701004,6.767375401481814,0.736953017053505
Vladimir  Vicani,namsor_api_2.1.4,LATIN,Vladimir  Vicani,male,-0.5534376435934973,7.487534048787758,0.7767188217967487
Wendy  Miller,namsor_api_2.1.4,LATIN,Wendy  Miller,female,0.3962181851681119,5.183811946474677,0.698109092584056
Will  Harris,namsor_api_2.1.4,LATIN,Will  Harris,male,-0.6071792079545568,7.8067627344340735,0.8035896039772784
William  Medina,namsor_api_2.1.4,LATIN,William  Medina,male,-0.5586911065193418,7.537494450855007,0.7793455532596709
YI  Guo,namsor_api_2.1.4,LATIN,YI  Guo,female,0.16694233277245174,1.568455412950442,0.5834711663862259
Yossi  Sheffi,namsor_api_2.1.4,LATIN,Yossi  Sheffi,male,-0.38874391184281176,4.8614201649037625,0.6943719559214059
Yvonne  Pratt,namsor_api_2.1.4,LATIN,Yvonne  Pratt,female,0.41997501188129327,5.864554265826584,0.7099875059406466
